Datetime,Username,Tweet
2022-09-21 12:47:40+00:00,GeekyPedagogy,"Such a thought-provoking interview w/@ErikSimmons6 on #TeaForTeaching! @john_kane_osw @cyberthread  Read more about Dr. Simmons &amp; all the contributors to the forthcoming @WVUPRESS collection #PictureAProfessor:
https://t.co/bcQIXqCu9a"
2022-09-21 10:51:26+00:00,john_kane_osw,In today's #teaforteaching @ErikSimmons6 joins us to discuss how research in social and behavioral sciences can help us structure classes that promote student success. @cyberthread https://t.co/Unz98RD8Ms
2022-09-15 13:52:55+00:00,GeekyPedagogy,"This is a #MustListen episode of #TeaForTeaching! @john_kane_osw @cyberthread Find out more about Dr. Atkins @teaching_up &amp; all the #PictureAProfessor @WVUPRESS authors:
https://t.co/bcQIXqBWjC"
2022-09-15 11:42:59+00:00,GeekyPedagogy,@CyndiKernahan @john_kane_osw @cyberthread Thank you for amplifying! @teaching_up @WVUPRESS
2022-09-14 22:52:06+00:00,CyndiKernahan,"I am loving these #teaforteaching episodes from the Picture a Professor book! So grateful to @GeekyPedagogy for helping us learn from all these amazing folks. And big thanks, as always, to @john_kane_osw and @cyberthread 👋 https://t.co/fj6Ys009cX"
2022-09-14 10:51:26+00:00,john_kane_osw,"In today's #teaforteaching podcast, @teaching_up joins us to discuss the importance of being your authentic self in the classroom, modeling different ways of being a professional, and breaking down stereotypes. @cyberthread https://t.co/Hx0iACvmxE"
2022-09-08 10:42:38+00:00,GeekyPedagogy,"""Like all forms of universal design, this benefits everyone."" ~Andrea Nikischer #UDL #TeaForTeaching @john_kane_osw @cyberthread
@OswegoCELT
https://t.co/UkRZqZIaEX https://t.co/NoFoTHUIlc"
2022-09-04 03:03:19+00:00,eurekaxpress,@john_kane_osw @ReganARGurung @cyberthread Noted!
2022-08-31 10:36:48+00:00,john_kane_osw,"In today's #teaforteaching podcast, @ReganARGurung, Mark Basham, and Pam Ansburg (the authors of Thriving in Academia) join us to discuss strategies that can help faculty transition from research-focused graduate programs to careers in teaching-focused institutions. @cyberthread https://t.co/fCRWMKmnav"
2022-08-24 11:32:51+00:00,GeekyPedagogy,"How does music history professor @reba_wissner use a ""petting zoo"" activity on the first day of class to spark student curiosity / demonstrate her expertise &amp; enthusiasm? Find out in the new episode of #TeaForTeaching! @john_kane_osw @cyberthread

https://t.co/CoUzm1W7OD"
2022-08-24 10:59:11+00:00,john_kane_osw,"In today's #teaforteaching podcast, @reba_wissner joins us to discuss how active learning activities can help young faculty establish their authority and engage students in the classroom. @cyberthread https://t.co/UUFrNxBmNm"
2022-08-20 11:20:18+00:00,GeekyPedagogy,"Sherri Wells-Jensen &amp; Emily K. Michael @ModwynEarendel recently talked about their teaching &amp; research on the #TeaForTeaching podcast. @cyberthread @john_kane_osw @OswegoCELT

https://t.co/piv0U2BeI0"
2022-08-16 02:44:34+00:00,cyberthread,"@vijisathy yes, even at faculty and staff events. yes, even if in a space that holds 50 people. yes, even if…"
2022-08-11 23:31:20+00:00,john_kane_osw,@mbiotech @ModwynEarendel @cyberthread A little better every day.
2022-08-11 19:02:00+00:00,mbiotech,@john_kane_osw @ModwynEarendel @cyberthread How are you feeling John?
2022-08-10 12:16:07+00:00,john_kane_osw,"In today's #teaforteaching episode, @ModwynEarendel and Sheri Wells-Jensen join us to discuss first-day of class strategies that can help faculty overcome student biases. @cyberthread https://t.co/5skjO0coDD"
2022-08-10 10:53:42+00:00,GeekyPedagogy,"""We want to be in a place where disability is neither central to the conversation nor taboo."" @ModwynEarendel &amp; Sheri Wells-Jensen discuss the all-important 1st day of class in new #TeaForTeaching episode.
@john_kane_osw @cyberthread

https://t.co/piv0U2BeI0"
2022-08-03 17:41:09+00:00,GeekyPedagogy,"""A class is a collective social setting."" ~@SaRoseCav  #DTandL22 keynote. Evergreen reminder for this nerdy awkward introvert. Authentic learning is always linked to sociality, as @TheTattooedProf noted in his recent #TeaForTeaching interview. @john_kane_osw @cyberthread"
2022-08-03 11:17:58+00:00,GeekyPedagogy,"Don't miss the new episode of #TeaForTeaching! Rebecca Scott @philoso_panda on co-creating knowledge w/students + how to make class discussions more meaningful / fun. Plus: using Dungeons &amp; Dragons to teach ethics! 🐲 @john_kane_osw @cyberthread

https://t.co/0bourjvaEm"
2022-08-03 10:48:10+00:00,john_kane_osw,"In today's #teaforteaching podcast, @philoso_panda joins @cyberthread and me to discuss why she has chosen to not conform to the cultural stereotype of  a professor as an authoritative dispenser of knowledge. She also discusses how she has used DnD in the classroom. https://t.co/nXhkWTurxp"
2022-07-27 10:12:29+00:00,cyberthread,"After a one month hiatus #teaForTeaching is back! 

We have a lineup that we are really excited to share. Episode #247 Picture a Professor with our friend @GeekyPedagogy dropped today. 

Show notes and transcript available on https://t.co/xq71D3WfIW. https://t.co/MByeuukHvO"
2022-07-22 11:57:07+00:00,Arisentech,"Cyber Security Facts.
Get Your Cyber Security Done by Arisen Technologies.
#arisentechnologies #cybersecurity #security #hacking #hacker #hackingtools #hackingservices #hackfreewebsite #cybersecurityservices #delhincr #softwaresecurity #cyberattack #cyberthread #business https://t.co/TS8FXk5flC"
2022-07-19 00:46:23+00:00,CyndiKernahan,@GeekyPedagogy @WVUPRESS @cyberthread @john_kane_osw @OswegoCELT So psyched to read🙂
2022-07-18 20:18:02+00:00,cyberthread,@GeekyPedagogy @WVUPRESS @john_kane_osw @OswegoCELT looking forward to sharing it later this month. We have lots of great episodes to share when we get back from our short hiatus
2022-07-18 14:37:20+00:00,GeekyPedagogy,"Just got to read the transcript for upcoming podcast episode of Tea for Teaching featuring yours truly discussing #PictureAProfessor @WVUPRESS. Boy oh boy, am I excited to share it w/the world! Thank you @cyberthread @john_kane_osw @OswegoCELT.  
https://t.co/atqCtnkkMn"
2022-06-29 11:19:38+00:00,john_kane_osw,"In today's #teaforteaching podcast, Jessica Kruger joins us to discuss the effect of explicitly embedding career competencies in the curriculum on student motivation and engagement. @cyberthread https://t.co/zz6Ookmx8e"
2022-06-23 15:44:22+00:00,EWhitteck,"I highly recommend Tea for Teaching episode 244 with @LindsayMasland. Thanks, @john_kane_osw, and @cyberthread for facilitating such a rich conversation about the importance of aligning our teaching with our values and context. #ContextMatters https://t.co/z79jYMKPa9 https://t.co/TIFwdKc0IR"
