Datetime,Username,Tweet
2020-05-28 19:31:37+00:00,weblineservices,"𝐑𝐚𝐧𝐬𝐨𝐦𝐰𝐚𝐫𝐞 𝐀𝐭𝐭𝐚𝐜𝐤𝐬 are on the rise during Covid-19
NEW article in our BLOG:
https://t.co/kmeU1ELgs9

#security #ransomware #cybersecurity #CyberAttack #Petya #malware #infosec #WannaCrypt #जीने_की_राह #wannacryattack
#datasecure #staysafe #covid19"
2019-08-29 11:56:14+00:00,cybersecuritypl,"#ArtificialIntelligence #AutomationSecurity #CyberCriminals #CyberSecurity #ITSecurity #WannacryAttack
https://t.co/dKv1gHxNN3"
2019-04-05 23:26:58+00:00,CyberSmartUK,"The 5 control areas of #CyberEssentials (minus the technical jargon!)
https://t.co/YJXpjfqsVU #Firewalls #ProtectYourData #Virus #Malware #WannaCryAttack #AntiVirusSoftware"
2018-09-21 18:00:02+00:00,EliteSecNet,The Lessons of WannaCry Attack    https://t.co/o0pj36KWRR #wannacry #wannacryattack #attack
2018-09-20 18:35:10+00:00,bip_cyber,"200,000 computers in 150 countries around the world were impacted during the #wannacryattack. Would your business be protected if a #cyberbreach happened?"
2018-04-26 12:46:01+00:00,SecureTeamUK,The Lessons of WannaCry Attack https://t.co/rrUWMguVoV #wannacry #wannacryattack #attack @csoonline @georgegerchow @waynesadin @paulrteich @benrothke @JosephSteinberg @ralucaadapopa @DivergentCIO @evanderburg @gannimo @SkyhighNetworks @jamestownsend @ScottBVS @TiffanyRad
2018-03-02 15:19:59+00:00,RjSeeker1,#RomanEmpire #Caesar #Cyberwar #cyberattack #wannacryAttack #KimJongUn #KimJongUnregime #Sonypicture #SonyHack #Financialsector #Wallstreet #bankingsystem #USEconomy #Economy #Trump #DonaldTrump #guncontrol #guns #UNArmsTradeTreaty #QAnon #Dallas #outlets #Korea #Asia
2018-02-12 12:25:00+00:00,crosswordcyber,NHS Digital Academy hailed as 'important mechanism' for cyber security https://t.co/lk12RTWBpt #dataprotection #databreaches #dataattacks #cybersecurity #postwannacry #wannacryattack
2018-02-07 10:27:44+00:00,crosswordcyber,Every NHS trust tested for cybersecurity has failed https://t.co/aukGXiEWWy #cybersecurity #dataprotection #postwannacry #wannacryattack #cyberawareness
2018-01-18 10:00:56+00:00,CourtComputers,#wannacry? NO! Our customers who have nomadesk cloud services are safe. Think your machine could be affected? Contact us today. #protectyourself #wannacryattack #courtcomputers #Itservices #computersafety https://t.co/UUXCPgvH3E
2017-12-26 04:38:55+00:00,Rose_James11,"#WannaCryAttack claim baseless, show us proof: North Korea's UN envoy to US

https://t.co/dt0vUk7vyo

#CyberAttack #CyberCrime #UnitedStates"
2017-12-19 12:00:36+00:00,aaliyagoyel1,"#NorthKorea 'directly responsible' for #WannaCry' cyber attack: US
(The White House official said anyone who harmed the United States would be held accountable)
https://t.co/E9VLAVkvLQ
#cyberattack
#cybercrime
#ransomeware
#wannacryattack"
2017-12-19 08:03:49+00:00,UK48PM,US publicly blames #NorthKorea for #WannacryAttack that brought down NHS systems https://t.co/qRqdG52XEk
